,title,author,date,INSPEC,DOI,citations,publisher,url,keywords
0,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions","Mostafa Zaman Chowdhury, Md. Shahjalal, Shakil Ahmed, Yeong Min Jang",20 July 2020,19955163,10.1109/OJCOMS.2020.3010270,172,IEEE,https://ieeexplore.ieee.org/document/9144301,NaN
1,Terahertz communication for vehicular networks,"S. Mumtaz et al., ",17 July 2017,17026925,10.1109/TVT.2017.2712878,107,IEEE,https://ieeexplore.ieee.org/document/7982949,NaN
2,Quantum machine learning for 6G communica-tion networks: State-of-the-art and vision for the future,"S. J. Nawaz, S. K. Sharma, S. Wyne, M. N. Patwary, andM. Asaduzzaman, ",15 April 2019,18609246,10.1109/ACCESS.2019.2909490,170,IEEE,https://ieeexplore.ieee.org/document/8681450,NaN
3,Toward 6G networks: Use cases and technologies,"M. Giordani, M. Polese, M. Mezzavilla, S. Rangan, and M. Zorzi,",18 March 2020,19469688,10.1109/MCOM.001.1900411,378,IEEE,https://ieeexplore.ieee.org/abstract/document/9040264,NaN
4,"5G: A tutorial overview of standards, trials, chal-lenges, deployment, and practice","M. Shafi et al., ",02 June 2017,16915203,10.1109/JSAC.2017.2692307,1048,IEEE,https://ieeexplore.ieee.org/document/7894280,NaN
5,Oneintegrated energy efficiency proposal for 5G IoT communications,"D. Zhang, Z. Zhou, S. Mumtaz, J. Rodriguez, and T. Sato, ",23 May 2017,16585155,10.1109/JIOT.2016.2599852,72,IEEE,https://ieeexplore.ieee.org/document/7542566,NaN
6,5G backhaulchallenges and emerging research directions: A survey,"M. Jaber, M. A. Imran, R. Tafazolli, and A. Tukmanov, ",23 May 2017,15977764,10.1109/ACCESS.2016.2556011,347,IEEE,http://ieeexplore.ieee.org/document/7456186,NaN
7,What will 5G be,"J. G. Andrews et al., ",22 July 2014,14469237,10.1109/JSAC.2014.2328098,5571,IEEE,https://ieeexplore.ieee.org/document/6824752,NaN
8,6G: The next frontier: From holographic mes-saging to artificial intelligence using subterahertz and visible lightcommunication,"E. C. Strinati et al., ",20 August 2019,18920911,10.1109/MVT.2019.2921162,193,IEEE,https://ieeexplore.ieee.org/document/8792135,NaN
9,"A vision of 6G wireless systems:Applications, trends, technologies, and open research problems","W. Saad, M. Bennis, and M. Chen, ",02 June 2020,19669258,10.1109/MNET.001.1900287,866,IEEE,https://ieeexplore.ieee.org/document/8869705,NaN
10,6G vision and requirements: Is there anyneed for beyond 5G,"K. David and H. Berndt, ",30 August 2018,18058905,10.1109/MVT.2018.2848498,245,IEEE,https://ieeexplore.ieee.org/document/8412482,NaN
11,UAV communications for 5G and beyond:Recent advances and future trends,"B. Li, Z. Fei, and Y. Zhang, ",08 May 2019,18653884,10.1109/JIOT.2018.2887086,411,IEEE,https://ieeexplore.ieee.org/document/8579209,NaN
